שנה א,Year_1,שמיני,Shmini,Vayikra,הלכות נטילת ידיים לאכילה,https://he.m.wikisource.org/wiki/%D7%91%D7%90%22%D7%97_%D7%A9%D7%A0%D7%94_%D7%A8%D7%90%D7%A9%D7%95%D7%A0%D7%94_%D7%A9%D7%9E%D7%99%D7%A0%D7%99
שנה א,Year_1,תזריע מצרע,Tazria_Mtsora,Vayikra,הלכות הכלים לנטילת ידיים לאכילה,https://he.m.wikisource.org/wiki/%D7%91%D7%90%22%D7%97_%D7%A9%D7%A0%D7%94_%D7%A8%D7%90%D7%A9%D7%95%D7%A0%D7%94_%D7%AA%D7%96%D7%A8%D7%99%D7%A2
שנה א,Year_1,אחרי מות קדושים,Aharemot_Kdoshim,Vayikra,הלכות המים לנטילת ידיים לאכילה,https://he.m.wikisource.org/wiki/%D7%91%D7%90%22%D7%97_%D7%A9%D7%A0%D7%94_%D7%A8%D7%90%D7%A9%D7%95%D7%A0%D7%94_%D7%90%D7%97%D7%A8%D7%99_%D7%A7%D7%93%D7%95%D7%A9%D7%99%D7%9D
שנה א,Year_1,אמור,Emor,Vayikra,הלכות בציעת הפת,https://he.m.wikisource.org/wiki/%D7%91%D7%90%22%D7%97_%D7%A9%D7%A0%D7%94_%D7%A8%D7%90%D7%A9%D7%95%D7%A0%D7%94_%D7%90%D7%9E%D7%95%D7%A8
שנה א,Year_1,בהר בחקתי,Bhar_Bhukotay,Vayikra,הלכות הנהגת האדם בסעודה,https://he.m.wikisource.org/wiki/%D7%91%D7%90%22%D7%97_%D7%A9%D7%A0%D7%94_%D7%A8%D7%90%D7%A9%D7%95%D7%A0%D7%94_%D7%91%D7%94%D7%A8_%D7%91%D7%97%D7%A7%D7%AA%D7%99
שנה א,Year_1,במדבר,Bamidbar,Bamidbar,הלכות חג השבועות,https://he.m.wikisource.org/wiki/%D7%91%D7%90%22%D7%97_%D7%A9%D7%A0%D7%94_%D7%A8%D7%90%D7%A9%D7%95%D7%A0%D7%94_%D7%91%D7%9E%D7%93%D7%91%D7%A8
שנה א,Year_1,נשא,Naso,Bamidbar,הלכות ברכת היין ודברים הבאים בתוך הסעודה,https://he.m.wikisource.org/wiki/%D7%91%D7%90%22%D7%97_%D7%A9%D7%A0%D7%94_%D7%A8%D7%90%D7%A9%D7%95%D7%A0%D7%94_%D7%A0%D7%A9%D7%90
שנה א,Year_1,בהעלתך,Bhaalotkha,Bamidbar,הלכות נטילת ידיים וברכת המזון,https://he.m.wikisource.org/wiki/%D7%91%D7%90%22%D7%97_%D7%A9%D7%A0%D7%94_%D7%A8%D7%90%D7%A9%D7%95%D7%A0%D7%94_%D7%91%D7%94%D7%A2%D7%9C%D7%AA%D7%9A
שנה א,Year_1,שלח לך,Shlahlkha,Bamidbar,הלכות שיורי אוכל - מים אחרונים וברכת המזון,https://he.m.wikisource.org/wiki/%D7%91%D7%90%22%D7%97_%D7%A9%D7%A0%D7%94_%D7%A8%D7%90%D7%A9%D7%95%D7%A0%D7%94_%D7%A9%D7%9C%D7%97_%D7%9C%D7%9A
שנה א,Year_1,קרח,Korah,Bamidbar,הלכות זימון,https://he.m.wikisource.org/wiki/%D7%91%D7%90%22%D7%97_%D7%A9%D7%A0%D7%94_%D7%A8%D7%90%D7%A9%D7%95%D7%A0%D7%94_%D7%A7%D7%A8%D7%97
שנה א,Year_1,חוקת,Hukat,Bamidbar,הלכות ברכת המזון וברכת אחרונה,https://he.m.wikisource.org/wiki/%D7%91%D7%9F_%D7%90%D7%99%D7%A9_%D7%97%D7%99_%D7%A9%D7%A0%D7%94_%D7%A8%D7%90%D7%A9%D7%95%D7%A0%D7%94_%D7%97%D7%95%D7%A7%D7%AA
שנה א,Year_1,בלק,Balak,Bamidbar,הלכות ברכת הנהנין,https://he.m.wikisource.org/wiki/%D7%91%D7%90%22%D7%97_%D7%A9%D7%A0%D7%94_%D7%A8%D7%90%D7%A9%D7%95%D7%A0%D7%94_%D7%91%D7%9C%D7%A7
שנה א,Year_1,פינחס,Pinhas,Bamidbar,המשך הלכות ברכת הנהנין,https://he.m.wikisource.org/wiki/%D7%91%D7%90%22%D7%97_%D7%A9%D7%A0%D7%94_%D7%A8%D7%90%D7%A9%D7%95%D7%A0%D7%94_%D7%A4%D7%99%D7%A0%D7%97%D7%A1
